vehicle_count_requested,vehicle_index,vehicle_id,k_anon_target,fake_set_cap,obfuscation_radius_m,real_anon_radius_m,strict_current_position_radius_enforced,strict_future_path_radius_enforced,horizon_mode,run_ended_reason,target_alive_steps,target_stall_steps_at_end,mean_horizon_edges_lifetime,rows,vehicles_observed,mean_k_real,mean_k_fake,mean_k_combined,mean_delta_k_vs_real,mean_h_real,mean_h_fake,mean_h_combined,mean_k_traj_real,mean_k_traj_fake,mean_k_traj_combined,mean_delta_k_traj_vs_real,mean_h_traj_real,mean_h_traj_fake,mean_h_traj_combined,mean_true_to_fake_div,mean_pairwise_fake_div,mean_pairwise_combined_div,route_png,nnpda_tracking_success_rate,nnpda_full_trace_recovery,nnpda_time_to_first_error_step,nnpda_time_to_first_error_s,nnpda_longest_true_streak,jpda_tracking_success_rate,jpda_full_trace_recovery,jpda_time_to_first_error_step,jpda_time_to_first_error_s,jpda_longest_true_streak,mht_tracking_success_rate,mht_full_trace_recovery,mht_time_to_first_error_step,mht_time_to_first_error_s,mht_longest_true_streak,mm_hmm_tracking_success_rate,mm_hmm_full_trace_recovery,mm_hmm_time_to_first_error_step,mm_hmm_time_to_first_error_s,mm_hmm_longest_true_streak
1,0,0,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,222,0,25.0,222,1,0.0,5.0,0.0,0.0,0.0,1.609438,0.0,0.0,4.162162,0.0,0.0,0.0,1.307058,0.0,0.411216,0.326508,0.0,,0.396396,0,-1,-1,0,0.387387,0,-1,-1,0,0.400901,0,-1,-1,0,0.207207,0,-1,-1,0
1,0,0,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,222,0,25.0,222,1,0.0,9.869369,0.0,0.0,0.0,2.288822,0.0,0.0,8.405405,0.0,0.0,0.0,1.936963,0.0,0.422563,0.28688,0.0,,0.193694,0,-1,-1,0,0.144144,0,-1,-1,0,0.198198,0,-1,-1,0,0.099099,0,-1,-1,0
1,0,0,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,222,0,25.0,222,1,0.0,14.608108,0.0,0.0,0.0,2.678901,0.0,0.0,12.851351,0.0,0.0,0.0,2.32411,0.0,0.430425,0.269711,0.0,,0.013514,0,-1,-1,0,0.198198,0,-1,-1,0,0.013514,0,-1,-1,0,0.054054,0,-1,-1,0
1,0,0,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,222,0,25.0,222,1,0.0,19.346847,0.0,0.0,0.0,2.958152,0.0,0.0,17.148649,0.0,0.0,0.0,2.577894,0.0,0.432745,0.260548,0.0,,0.027027,0,-1,-1,0,0.081081,0,-1,-1,0,0.040541,0,-1,-1,0,0.040541,0,-1,-1,0
1,0,0,50,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,221,0,25.0,221,1,0.0,48.031674,0.0,0.0,0.0,3.865219,0.0,0.0,42.294118,0.0,0.0,0.0,3.33575,0.0,0.43228,0.260108,0.0,/home/panagiotis/Desktop/ESORICS3SIM/AMSTERDAMTRACKING/outputs/route_map_v0_k50.png,0.0,0,-1,-1,0,0.022624,0,-1,-1,0,0.004525,0,-1,-1,0,0.0181,0,-1,-1,0
1,1,1,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,350,0,27.0,350,1,0.0,4.874286,0.0,0.0,0.0,1.577329,0.0,0.0,4.122857,0.0,0.0,0.0,1.311766,0.0,0.415979,0.344205,0.0,,0.46,0,-1,-1,0,0.385714,0,-1,-1,0,0.46,0,-1,-1,0,0.337143,0,-1,-1,0
1,1,1,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,350,0,27.0,350,1,0.0,9.56,0.0,0.0,0.0,2.226907,0.0,0.0,8.757143,0.0,0.0,0.0,2.051122,0.0,0.473721,0.295426,0.0,,0.134286,0,-1,-1,0,0.231429,0,-1,-1,0,0.122857,0,-1,-1,0,0.302857,0,-1,-1,0
1,1,1,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,350,0,27.0,350,1,0.0,14.308571,0.0,0.0,0.0,2.624968,0.0,0.0,13.457143,0.0,0.0,0.0,2.467435,0.0,0.490582,0.261287,0.0,,0.205714,0,-1,-1,0,0.148571,0,-1,-1,0,0.205714,0,-1,-1,0,0.237143,0,-1,-1,0
1,1,1,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,350,0,27.0,350,1,0.0,18.994286,0.0,0.0,0.0,2.894567,0.0,0.0,18.091429,0.0,0.0,0.0,2.750544,0.0,0.498747,0.245843,0.0,,0.194286,0,-1,-1,0,0.117143,0,-1,-1,0,0.194286,0,-1,-1,0,0.142857,0,-1,-1,0
1,1,1,50,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,350,0,27.0,350,1,0.0,47.297143,0.0,0.0,0.0,3.788439,0.0,0.0,45.96,0.0,0.0,0.0,3.634786,0.0,0.500501,0.245759,0.0,/home/panagiotis/Desktop/ESORICS3SIM/AMSTERDAMTRACKING/outputs/route_map_v1_k50.png,0.005714,0,-1,-1,0,0.062857,0,-1,-1,0,0.014286,0,-1,-1,0,0.014286,0,-1,-1,0
