vehicle_count_requested,vehicle_index,vehicle_id,k_anon_target,fake_set_cap,obfuscation_radius_m,real_anon_radius_m,strict_current_position_radius_enforced,strict_future_path_radius_enforced,horizon_mode,run_ended_reason,target_alive_steps,target_stall_steps_at_end,mean_horizon_edges_lifetime,rows,vehicles_observed,mean_k_real,mean_k_fake,mean_k_combined,mean_delta_k_vs_real,mean_h_real,mean_h_fake,mean_h_combined,mean_k_traj_real,mean_k_traj_fake,mean_k_traj_combined,mean_delta_k_traj_vs_real,mean_h_traj_real,mean_h_traj_fake,mean_h_traj_combined,mean_true_to_fake_div,mean_pairwise_fake_div,mean_pairwise_combined_div,route_png,nnpda_tracking_success_rate,nnpda_full_trace_recovery,nnpda_time_to_first_error_step,nnpda_time_to_first_error_s,nnpda_longest_true_streak,jpda_tracking_success_rate,jpda_full_trace_recovery,jpda_time_to_first_error_step,jpda_time_to_first_error_s,jpda_longest_true_streak,mht_tracking_success_rate,mht_full_trace_recovery,mht_time_to_first_error_step,mht_time_to_first_error_s,mht_longest_true_streak,mm_hmm_tracking_success_rate,mm_hmm_full_trace_recovery,mm_hmm_time_to_first_error_step,mm_hmm_time_to_first_error_s,mm_hmm_longest_true_streak
1,0,0,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,109,0,11.0,109,1,0.0,5.0,0.0,0.0,0.0,1.609438,0.0,0.0,3.100917,0.0,0.0,0.0,0.900768,0.0,0.256255,0.247467,0.0,,0.550459,0,-1,-1,0,0.33945,0,-1,-1,0,0.587156,0,-1,-1,0,0.477064,0,-1,-1,0
1,0,0,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,110,0,11.0,110,1,0.0,10.0,0.0,0.0,0.0,2.302585,0.0,0.0,6.036364,0.0,0.0,0.0,1.361658,0.0,0.279063,0.23148,0.0,,0.409091,0,-1,-1,0,0.118182,0,-1,-1,0,0.409091,0,-1,-1,0,0.509091,0,-1,-1,0
1,0,0,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,110,0,11.0,110,1,0.0,15.0,0.0,0.0,0.0,2.70805,0.0,0.0,9.381818,0.0,0.0,0.0,1.679931,0.0,0.299528,0.217724,0.0,,0.027273,0,-1,-1,0,0.2,0,-1,-1,0,0.372727,0,-1,-1,0,0.409091,0,-1,-1,0
1,0,0,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,110,0,11.0,110,1,0.0,20.0,0.0,0.0,0.0,2.995732,0.0,0.0,12.509091,0.0,0.0,0.0,1.872603,0.0,0.302871,0.213239,0.0,,0.027273,0,-1,-1,0,0.136364,0,-1,-1,0,0.0,0,-1,-1,0,0.327273,0,-1,-1,0
1,0,0,50,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,110,0,11.0,110,1,0.0,49.963636,0.0,0.0,0.0,3.911277,0.0,0.0,27.063636,0.0,0.0,0.0,2.183683,0.0,0.280244,0.228726,0.0,/home/panagiotis/Desktop/ESORICS3SIM/BELGIUMTRACKING/outputs/route_map_v0_k50.png,0.018182,0,-1,-1,0,0.063636,0,-1,-1,0,0.018182,0,-1,-1,0,0.027273,0,-1,-1,0
1,1,1,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,528,0,30.0,528,1,0.0,5.0,0.0,0.0,0.0,1.609438,0.0,0.0,4.07197,0.0,0.0,0.0,1.281638,0.0,0.374069,0.289206,0.0,,0.378788,0,-1,-1,0,0.301136,0,-1,-1,0,0.38447,0,-1,-1,0,0.327652,0,-1,-1,0
1,1,1,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,528,0,30.0,528,1,0.0,9.958333,0.0,0.0,0.0,2.298195,0.0,0.0,8.337121,0.0,0.0,0.0,1.935018,0.0,0.395714,0.244751,0.0,,0.145833,0,-1,-1,0,0.155303,0,-1,-1,0,0.143939,0,-1,-1,0,0.138258,0,-1,-1,0
1,1,1,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,528,0,30.0,528,1,0.0,14.916667,0.0,0.0,0.0,2.702087,0.0,0.0,12.626894,0.0,0.0,0.0,2.30701,0.0,0.400451,0.226767,0.0,,0.024621,0,-1,-1,0,0.145833,0,-1,-1,0,0.081439,0,-1,-1,0,0.136364,0,-1,-1,0
1,1,1,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,528,0,30.0,528,1,0.0,19.873106,0.0,0.0,0.0,2.988863,0.0,0.0,16.856061,0.0,0.0,0.0,2.559005,0.0,0.396996,0.219685,0.0,,0.013258,0,-1,-1,0,0.0625,0,-1,-1,0,0.037879,0,-1,-1,0,0.066288,0,-1,-1,0
1,1,1,50,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,528,0,30.0,528,1,0.0,49.094697,0.0,0.0,0.0,3.891095,0.0,0.0,40.965909,0.0,0.0,0.0,3.291733,0.0,0.382897,0.219835,0.0,/home/panagiotis/Desktop/ESORICS3SIM/BELGIUMTRACKING/outputs/route_map_v1_k50.png,0.003788,0,-1,-1,0,0.056818,0,-1,-1,0,0.007576,0,-1,-1,0,0.015152,0,-1,-1,0
