vehicle_count_requested,vehicle_index,vehicle_id,k_anon_target,fake_set_cap,obfuscation_radius_m,real_anon_radius_m,strict_current_position_radius_enforced,strict_future_path_radius_enforced,horizon_mode,run_ended_reason,target_alive_steps,target_stall_steps_at_end,mean_horizon_edges_lifetime,rows,vehicles_observed,mean_k_real,mean_k_fake,mean_k_combined,mean_delta_k_vs_real,mean_h_real,mean_h_fake,mean_h_combined,mean_k_traj_real,mean_k_traj_fake,mean_k_traj_combined,mean_delta_k_traj_vs_real,mean_h_traj_real,mean_h_traj_fake,mean_h_traj_combined,mean_true_to_fake_div,mean_pairwise_fake_div,mean_pairwise_combined_div,route_png,nnpda_tracking_success_rate,nnpda_full_trace_recovery,nnpda_time_to_first_error_step,nnpda_time_to_first_error_s,nnpda_longest_true_streak,jpda_tracking_success_rate,jpda_full_trace_recovery,jpda_time_to_first_error_step,jpda_time_to_first_error_s,jpda_longest_true_streak,mht_tracking_success_rate,mht_full_trace_recovery,mht_time_to_first_error_step,mht_time_to_first_error_s,mht_longest_true_streak,mm_hmm_tracking_success_rate,mm_hmm_full_trace_recovery,mm_hmm_time_to_first_error_step,mm_hmm_time_to_first_error_s,mm_hmm_longest_true_streak
1,0,0,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,1512,0,28.0,1512,1,0.0,4.984788,0.0,0.0,0.0,1.606044,0.0,0.0,4.905423,0.0,0.0,0.0,1.575604,0.0,0.739075,0.54695,0.0,,0.50463,0,-1,-1,0,0.087302,0,-1,-1,0,0.50463,0,-1,-1,0,0.146825,0,-1,-1,0
1,0,0,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,1512,0,28.0,1512,1,0.0,9.923942,0.0,0.0,0.0,2.292041,0.0,0.0,9.786376,0.0,0.0,0.0,2.255418,0.0,0.733471,0.489939,0.0,,0.22619,0,-1,-1,0,0.13955,0,-1,-1,0,0.22619,0,-1,-1,0,0.075397,0,-1,-1,0
1,0,0,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,1512,0,28.0,1512,1,0.0,14.863095,0.0,0.0,0.0,2.694112,0.0,0.0,14.688492,0.0,0.0,0.0,2.655392,0.0,0.736521,0.458901,0.0,,0.21627,0,-1,-1,0,0.169974,0,-1,-1,0,0.21627,0,-1,-1,0,0.127646,0,-1,-1,0
1,0,0,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,1512,0,28.0,1512,1,0.0,19.802249,0.0,0.0,0.0,2.979762,0.0,0.0,19.573413,0.0,0.0,0.0,2.937351,0.0,0.745552,0.444627,0.0,,0.215608,0,-1,-1,0,0.125661,0,-1,-1,0,0.21627,0,-1,-1,0,0.039021,0,-1,-1,0
1,0,0,50,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,1512,0,28.0,1512,1,0.0,49.437169,0.0,0.0,0.0,3.891532,0.0,0.0,48.943122,0.0,0.0,0.0,3.838799,0.0,0.735435,0.45621,0.0,/home/panagiotis/Desktop/ESORICS3SIM/MUNICH/outputs/route_map_v0_k50.png,0.0,0,-1,-1,0,0.033069,0,-1,-1,0,0.001984,0,-1,-1,0,0.003307,0,-1,-1,0
1,1,1,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,338,0,25.0,338,1,0.0,5.0,0.0,0.0,0.0,1.609438,0.0,0.0,4.029586,0.0,0.0,0.0,1.283772,0.0,0.383077,0.328914,0.0,,0.408284,0,-1,-1,0,0.186391,0,-1,-1,0,0.408284,0,-1,-1,0,0.298817,0,-1,-1,0
1,1,1,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,338,0,25.0,338,1,0.0,9.778107,0.0,0.0,0.0,2.276204,0.0,0.0,8.606509,0.0,0.0,0.0,2.020377,0.0,0.43165,0.284759,0.0,,0.325444,0,-1,-1,0,0.109467,0,-1,-1,0,0.325444,0,-1,-1,0,0.313609,0,-1,-1,0
1,1,1,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,338,0,25.0,338,1,0.0,14.630178,0.0,0.0,0.0,2.67806,0.0,0.0,13.100592,0.0,0.0,0.0,2.414314,0.0,0.441606,0.262974,0.0,,0.248521,0,-1,-1,0,0.071006,0,-1,-1,0,0.248521,0,-1,-1,0,0.198225,0,-1,-1,0
1,1,1,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,338,0,25.0,338,1,0.0,19.408284,0.0,0.0,0.0,2.957949,0.0,0.0,17.609467,0.0,0.0,0.0,2.690492,0.0,0.440654,0.258651,0.0,,0.035503,0,-1,-1,0,0.106509,0,-1,-1,0,0.047337,0,-1,-1,0,0.04142,0,-1,-1,0
1,1,1,50,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,338,0,25.0,338,1,0.0,48.224852,0.0,0.0,0.0,3.863656,0.0,0.0,43.949704,0.0,0.0,0.0,3.516493,0.0,0.425398,0.266954,0.0,/home/panagiotis/Desktop/ESORICS3SIM/MUNICH/outputs/route_map_v1_k50.png,0.0,0,-1,-1,0,0.053254,0,-1,-1,0,0.011834,0,-1,-1,0,0.014793,0,-1,-1,0
