vehicle_count_requested,vehicle_index,vehicle_id,k_anon_target,fake_set_cap,obfuscation_radius_m,real_anon_radius_m,strict_current_position_radius_enforced,strict_future_path_radius_enforced,horizon_mode,run_ended_reason,target_alive_steps,target_stall_steps_at_end,mean_horizon_edges_lifetime,rows,vehicles_observed,mean_k_real,mean_k_fake,mean_k_combined,mean_delta_k_vs_real,mean_h_real,mean_h_fake,mean_h_combined,mean_k_traj_real,mean_k_traj_fake,mean_k_traj_combined,mean_delta_k_traj_vs_real,mean_h_traj_real,mean_h_traj_fake,mean_h_traj_combined,mean_true_to_fake_div,mean_pairwise_fake_div,mean_pairwise_combined_div,route_png,nnpda_tracking_success_rate,nnpda_full_trace_recovery,nnpda_time_to_first_error_step,nnpda_time_to_first_error_s,nnpda_longest_true_streak,jpda_tracking_success_rate,jpda_full_trace_recovery,jpda_time_to_first_error_step,jpda_time_to_first_error_s,jpda_longest_true_streak,mht_tracking_success_rate,mht_full_trace_recovery,mht_time_to_first_error_step,mht_time_to_first_error_s,mht_longest_true_streak,mm_hmm_tracking_success_rate,mm_hmm_full_trace_recovery,mm_hmm_time_to_first_error_step,mm_hmm_time_to_first_error_s,mm_hmm_longest_true_streak
1,0,veh_6657,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,205,0,24.0,205,1,0.0,4.887805,0.0,0.0,0.0,1.584402,0.0,0.0,4.395122,0.0,0.0,0.0,1.384056,0.0,0.464329,0.368407,0.0,,0.282927,0,-1,-1,0,0.390244,0,-1,-1,0,0.282927,0,-1,-1,0,0.204878,0,-1,-1,0
1,0,veh_6657,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,205,0,24.0,205,1,0.0,9.55122,0.0,0.0,0.0,2.245273,0.0,0.0,8.746341,0.0,0.0,0.0,2.008227,0.0,0.48295,0.314149,0.0,,0.043902,0,-1,-1,0,0.097561,0,-1,-1,0,0.15122,0,-1,-1,0,0.141463,0,-1,-1,0
1,0,veh_6657,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,205,0,24.0,205,1,0.0,14.102439,0.0,0.0,0.0,2.622542,0.0,0.0,13.029268,0.0,0.0,0.0,2.36212,0.0,0.483464,0.29387,0.0,,0.014634,0,-1,-1,0,0.058537,0,-1,-1,0,0.014634,0,-1,-1,0,0.190244,0,-1,-1,0
1,0,veh_6657,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,205,0,24.0,205,1,0.0,18.765854,0.0,0.0,0.0,2.906143,0.0,0.0,17.370732,0.0,0.0,0.0,2.620085,0.0,0.484093,0.287929,0.0,,0.004878,0,-1,-1,0,0.156098,0,-1,-1,0,0.004878,0,-1,-1,0,0.029268,0,-1,-1,0
1,0,veh_6657,50,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,205,0,24.0,205,1,0.0,46.409756,0.0,0.0,0.0,3.797399,0.0,0.0,43.653659,0.0,0.0,0.0,3.443191,0.0,0.471989,0.305518,0.0,/home/panagiotis/Desktop/ESORICS3SIM/GEMINIPAPEITRACKING/outputs/route_map_v0_k50.png,0.0,0,-1,-1,0,0.014634,0,-1,-1,0,0.0,0,-1,-1,0,0.009756,0,-1,-1,0
1,1,veh_10055,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,158,0,8.0,158,1,0.0,5.0,0.0,0.0,0.0,1.609438,0.0,0.0,3.835443,0.0,0.0,0.0,1.170407,0.0,0.427017,0.39677,0.0,,0.297468,0,-1,-1,0,0.291139,0,-1,-1,0,0.297468,0,-1,-1,0,0.259494,0,-1,-1,0
1,1,veh_10055,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,158,0,8.0,158,1,0.0,9.778481,0.0,0.0,0.0,2.279246,0.0,0.0,7.335443,0.0,0.0,0.0,1.68846,0.0,0.42238,0.385104,0.0,,0.056962,0,-1,-1,0,0.208861,0,-1,-1,0,0.044304,0,-1,-1,0,0.189873,0,-1,-1,0
1,1,veh_10055,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,158,0,8.0,158,1,0.0,14.335443,0.0,0.0,0.0,2.65862,0.0,0.0,10.683544,0.0,0.0,0.0,1.964722,0.0,0.41484,0.385266,0.0,,0.037975,0,-1,-1,0,0.044304,0,-1,-1,0,0.037975,0,-1,-1,0,0.006329,0,-1,-1,0
1,1,veh_10055,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,158,0,8.0,158,1,0.0,19.113924,0.0,0.0,0.0,2.946302,0.0,0.0,14.018987,0.0,0.0,0.0,2.160004,0.0,0.404688,0.384804,0.0,,0.044304,0,-1,-1,0,0.063291,0,-1,-1,0,0.06962,0,-1,-1,0,0.06962,0,-1,-1,0
1,1,veh_10055,50,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,158,0,8.0,158,1,0.0,45.993671,0.0,0.0,0.0,3.815764,0.0,0.0,29.689873,0.0,0.0,0.0,2.513127,0.0,0.332368,0.370885,0.0,/home/panagiotis/Desktop/ESORICS3SIM/GEMINIPAPEITRACKING/outputs/route_map_v1_k50.png,0.0,0,-1,-1,0,0.037975,0,-1,-1,0,0.006329,0,-1,-1,0,0.012658,0,-1,-1,0
1,2,veh_17753,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,380,0,29.0,380,1,0.0,5.0,0.0,0.0,0.0,1.609438,0.0,0.0,4.586842,0.0,0.0,0.0,1.45143,0.0,0.388339,0.280246,0.0,,0.473684,0,-1,-1,0,0.347368,0,-1,-1,0,0.481579,0,-1,-1,0,0.192105,0,-1,-1,0
1,2,veh_17753,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,380,0,29.0,380,1,0.0,10.0,0.0,0.0,0.0,2.302585,0.0,0.0,8.697368,0.0,0.0,0.0,2.024473,0.0,0.380238,0.248778,0.0,,0.023684,0,-1,-1,0,0.189474,0,-1,-1,0,0.213158,0,-1,-1,0,0.094737,0,-1,-1,0
1,2,veh_17753,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,380,0,29.0,380,1,0.0,15.0,0.0,0.0,0.0,2.70805,0.0,0.0,12.984211,0.0,0.0,0.0,2.381965,0.0,0.37244,0.233541,0.0,,0.005263,0,-1,-1,0,0.163158,0,-1,-1,0,0.131579,0,-1,-1,0,0.086842,0,-1,-1,0
1,2,veh_17753,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,380,0,29.0,380,1,0.0,20.0,0.0,0.0,0.0,2.995732,0.0,0.0,17.168421,0.0,0.0,0.0,2.622396,0.0,0.367022,0.231471,0.0,,0.010526,0,-1,-1,0,0.052632,0,-1,-1,0,0.028947,0,-1,-1,0,0.042105,0,-1,-1,0
