vehicle_count_requested,vehicle_index,vehicle_id,k_anon_target,fake_set_cap,obfuscation_radius_m,real_anon_radius_m,strict_current_position_radius_enforced,strict_future_path_radius_enforced,horizon_mode,run_ended_reason,target_alive_steps,target_stall_steps_at_end,mean_horizon_edges_lifetime,rows,vehicles_observed,mean_k_real,mean_k_fake,mean_k_combined,mean_delta_k_vs_real,mean_h_real,mean_h_fake,mean_h_combined,mean_k_traj_real,mean_k_traj_fake,mean_k_traj_combined,mean_delta_k_traj_vs_real,mean_h_traj_real,mean_h_traj_fake,mean_h_traj_combined,mean_true_to_fake_div,mean_pairwise_fake_div,mean_pairwise_combined_div,route_png,nnpda_tracking_success_rate,nnpda_full_trace_recovery,nnpda_time_to_first_error_step,nnpda_time_to_first_error_s,nnpda_longest_true_streak,jpda_tracking_success_rate,jpda_full_trace_recovery,jpda_time_to_first_error_step,jpda_time_to_first_error_s,jpda_longest_true_streak,mht_tracking_success_rate,mht_full_trace_recovery,mht_time_to_first_error_step,mht_time_to_first_error_s,mht_longest_true_streak,mm_hmm_tracking_success_rate,mm_hmm_full_trace_recovery,mm_hmm_time_to_first_error_step,mm_hmm_time_to_first_error_s,mm_hmm_longest_true_streak
1,0,0,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,522,0,30.0,522,1,0.0,5.0,0.0,0.0,0.0,1.609438,0.0,0.0,4.383142,0.0,0.0,0.0,1.393849,0.0,0.388011,0.287826,0.0,,0.461686,0,-1,-1,0,0.442529,0,-1,-1,0,0.461686,0,-1,-1,0,0.402299,0,-1,-1,0
1,0,0,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,522,0,30.0,522,1,0.0,9.844828,0.0,0.0,0.0,2.284136,0.0,0.0,8.793103,0.0,0.0,0.0,2.051414,0.0,0.400206,0.238539,0.0,,0.331418,0,-1,-1,0,0.312261,0,-1,-1,0,0.331418,0,-1,-1,0,0.298851,0,-1,-1,0
1,0,0,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,522,0,30.0,522,1,0.0,14.689655,0.0,0.0,0.0,2.681628,0.0,0.0,13.266284,0.0,0.0,0.0,2.436995,0.0,0.393874,0.230178,0.0,,0.095785,0,-1,-1,0,0.132184,0,-1,-1,0,0.116858,0,-1,-1,0,0.124521,0,-1,-1,0
1,0,0,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,522,0,30.0,522,1,0.0,19.534483,0.0,0.0,0.0,2.964809,0.0,0.0,17.689655,0.0,0.0,0.0,2.702203,0.0,0.388563,0.229002,0.0,,0.021073,0,-1,-1,0,0.137931,0,-1,-1,0,0.045977,0,-1,-1,0,0.068966,0,-1,-1,0
1,0,0,50,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,522,0,30.0,522,1,0.0,48.603448,0.0,0.0,0.0,3.871858,0.0,0.0,43.423372,0.0,0.0,0.0,3.497856,0.0,0.345461,0.240107,0.0,/home/panagiotis/Desktop/ESORICS3SIM/PORTO/outputs/route_map_v0_k50.png,0.0,0,-1,-1,0,0.01341,0,-1,-1,0,0.01341,0,-1,-1,0,0.01341,0,-1,-1,0
1,1,1,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,322,0,11.0,322,1,0.0,5.0,0.0,0.0,0.0,1.609438,0.0,0.0,4.562112,0.0,0.0,0.0,1.441055,0.0,0.595568,0.560393,0.0,,0.223602,0,-1,-1,0,0.257764,0,-1,-1,0,0.226708,0,-1,-1,0,0.096273,0,-1,-1,0
1,1,1,10,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,322,0,11.0,322,1,0.0,10.0,0.0,0.0,0.0,2.302585,0.0,0.0,9.024845,0.0,0.0,0.0,2.066136,0.0,0.603676,0.531267,0.0,,0.214286,0,-1,-1,0,0.07764,0,-1,-1,0,0.071429,0,-1,-1,0,0.236025,0,-1,-1,0
1,1,1,15,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,322,0,11.0,322,1,0.0,15.0,0.0,0.0,0.0,2.70805,0.0,0.0,12.841615,0.0,0.0,0.0,2.371235,0.0,0.574756,0.526163,0.0,,0.009317,0,-1,-1,0,0.158385,0,-1,-1,0,0.037267,0,-1,-1,0,0.037267,0,-1,-1,0
1,1,1,20,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,322,0,11.0,322,1,0.0,20.0,0.0,0.0,0.0,2.995732,0.0,0.0,17.279503,0.0,0.0,0.0,2.644226,0.0,0.579126,0.520978,0.0,,0.015528,0,-1,-1,0,0.118012,0,-1,-1,0,0.02795,0,-1,-1,0,0.102484,0,-1,-1,0
1,1,1,50,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,322,0,11.0,322,1,0.0,49.826087,0.0,0.0,0.0,3.908473,0.0,0.0,43.841615,0.0,0.0,0.0,3.492085,0.0,0.557537,0.557451,0.0,/home/panagiotis/Desktop/ESORICS3SIM/PORTO/outputs/route_map_v1_k50.png,0.003106,0,-1,-1,0,0.068323,0,-1,-1,0,0.018634,0,-1,-1,0,0.052795,0,-1,-1,0
1,2,2,5,100,100.0,100.0,True,True,capped_first_30_usable_edges,normal_finish,369,0,25.0,369,1,0.0,5.0,0.0,0.0,0.0,1.609438,0.0,0.0,4.224932,0.0,0.0,0.0,1.358939,0.0,0.515122,0.424053,0.0,,0.325203,0,-1,-1,0,0.303523,0,-1,-1,0,0.284553,0,-1,-1,0,0.268293,0,-1,-1,0
